species,projection,buffer_km,SRS_ex,GRS_ex,ERS_ex,FCS_ex,FCS_ex_class,SRS_in,GRS_in,ERS_in,FCS_in,FCS_in_class,FCS_min,FCS_min_class,FCS_max,FCS_max_class,FCS_mean,FCS_mean_class,GRS_ex_SD,GRS_ex_CV,ERS_ex_SD,ERS_ex_CV,FCS_ex_SD,FCS_ex_CV,GRS_in_SD,GRS_in_CV,ERS_in_SD,ERS_in_CV,FCS_in_SD,FCS_in_CV,FCS_min_SD,FCS_min_CV,FCS_max_SD,FCS_max_CV,FCS_mean_SD,FCS_mean_CV
Vitis acerifolia,WGS84,1,25.920471281296027,0.04862002905583703,42.857142857142854,22.942078055831573,UP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,22.942078055831573,UP,25.9223496228295,HP,24.432213839330537,UP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,WGS84,5,25.920471281296027,0.9565357859036788,57.14285714285714,28.006621403352284,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,28.006621403352284,HP,26.964485513090892,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,WGS84,20,25.920471281296027,10.564782397515328,57.14285714285714,31.209370273889498,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,31.209370273889498,HP,28.565859948359495,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,WGS84,50,25.920471281296027,33.23228044790735,57.14285714285714,38.7652029573535,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,38.7652029573535,HP,32.3437762900915,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,WGS84,100,25.920471281296027,54.815135861857286,57.14285714285714,45.959488095336816,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,45.959488095336816,HP,35.940918859083155,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,EqualArea,1,25.920471281296027,0.04773842412325264,42.857142857142854,22.94178418752071,UP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,22.94178418752071,UP,25.47891782047464,HP,24.210351003997673,UP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,EqualArea,5,25.920471281296027,0.9575766260237676,57.14285714285714,28.00696835005898,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,28.00696835005898,HP,26.74294308526681,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,EqualArea,20,25.920471281296027,10.546107241408595,57.14285714285714,31.20314522185392,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,31.20314522185392,HP,28.34103152116428,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,EqualArea,50,25.920471281296027,33.32524966658684,57.14285714285714,38.79619269691334,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,38.79619269691334,HP,32.137555258693986,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis acerifolia,EqualArea,100,25.920471281296027,54.96122280684319,57.14285714285714,46.008183743665455,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,46.008183743665455,HP,35.743550782070045,HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis aestivalis,WGS84,1,1.067420139706459,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis aestivalis,WGS84,5,1.067420139706459,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis aestivalis,WGS84,20,1.067420139706459,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitis aestivalis,WGS84,50,1.067420139706459,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
