species,projection,buffer_km,SRS_ex,GRS_ex,ERS_ex,FCS_ex,FCS_ex_class,SRS_in,GRS_in,ERS_in,FCS_in,FCS_in_class,FCS_min,FCS_min_class,FCS_max,FCS_max_class,FCS_mean,FCS_mean_class,GRS_ex_SD,GRS_ex_CV,ERS_ex_SD,ERS_ex_CV,FCS_ex_SD,FCS_ex_CV,GRS_in_SD,GRS_in_CV,ERS_in_SD,ERS_in_CV,FCS_in_SD,FCS_in_CV,FCS_min_SD,FCS_min_CV,FCS_max_SD,FCS_max_CV,FCS_mean_SD,FCS_mean_CV
Vitis acerifolia,WGS84,1,25.920471281296027,0.04862002905583703,42.857142857142854,22.942078055831573,UP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,22.942078055831573,UP,25.9223496228295,HP,24.432213839330537,UP,23.64789668577376,118.69365934875529,6.3887656499993986,11.76877882894626,9.079908006938275,27.20445168867574,0,0,0,0,0,0,1.3328179630434371,5.262585572660442,8.286878175567757,24.392824208972243,4.539954003469136,15.312101462903335
Vitis acerifolia,WGS84,5,25.920471281296027,0.9565357859036788,57.14285714285714,28.006621403352284,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,28.006621403352284,HP,26.964485513090892,HP,23.64789668577376,118.69365934875529,6.3887656499993986,11.76877882894626,9.079908006938275,27.20445168867574,0,0,0,0,0,0,1.3328179630434371,5.262585572660442,8.286878175567757,24.392824208972243,4.539954003469136,15.312101462903335
Vitis acerifolia,WGS84,20,25.920471281296027,10.564782397515327,57.14285714285714,31.209370273889494,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,31.209370273889494,HP,28.565859948359495,HP,23.64789668577376,118.69365934875529,6.3887656499993986,11.76877882894626,9.079908006938275,27.20445168867574,0,0,0,0,0,0,1.3328179630434371,5.262585572660442,8.286878175567757,24.392824208972243,4.539954003469136,15.312101462903335
Vitis acerifolia,WGS84,50,25.920471281296027,33.23228044790735,57.14285714285714,38.7652029573535,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,38.7652029573535,HP,32.3437762900915,HP,23.64789668577376,118.69365934875529,6.3887656499993986,11.76877882894626,9.079908006938275,27.20445168867574,0,0,0,0,0,0,1.3328179630434371,5.262585572660442,8.286878175567757,24.392824208972243,4.539954003469136,15.312101462903335
Vitis acerifolia,WGS84,100,25.920471281296027,54.815135861857286,57.14285714285714,45.959488095336816,HP,5.574912891986063,0.7635645479310047,71.42857142857143,25.9223496228295,HP,25.9223496228295,HP,45.959488095336816,HP,35.940918859083155,HP,23.64789668577376,118.69365934875529,6.3887656499993986,11.76877882894626,9.079908006938275,27.20445168867574,0,0,0,0,0,0,1.3328179630434371,5.262585572660442,8.286878175567757,24.392824208972243,4.539954003469136,15.312101462903335
Vitis acerifolia,EqualArea,1,25.920471281296027,0.047738424123252646,42.857142857142854,22.94178418752071,UP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,22.94178418752071,UP,25.47891782047464,HP,24.210351003997673,UP,23.71669686867288,118.77602650026336,6.3887656499993986,11.76877882894626,9.101786223333507,27.25799394765372,0,0,0,0,0,0,1.1346406542571967,4.543744103991847,8.41867389498302,24.83481216944885,4.550893111666753,15.46077718478317
Vitis acerifolia,EqualArea,5,25.920471281296027,0.9575766260237676,57.14285714285714,28.00696835005898,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,28.00696835005898,HP,26.74294308526681,HP,23.71669686867288,118.77602650026336,6.3887656499993986,11.76877882894626,9.101786223333507,27.25799394765372,0,0,0,0,0,0,1.1346406542571967,4.543744103991847,8.41867389498302,24.83481216944885,4.550893111666753,15.46077718478317
Vitis acerifolia,EqualArea,20,25.920471281296027,10.546107241408595,57.14285714285714,31.20314522185392,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,31.20314522185392,HP,28.34103152116428,HP,23.71669686867288,118.77602650026336,6.3887656499993986,11.76877882894626,9.101786223333507,27.25799394765372,0,0,0,0,0,0,1.1346406542571967,4.543744103991847,8.41867389498302,24.83481216944885,4.550893111666753,15.46077718478317
Vitis acerifolia,EqualArea,50,25.920471281296027,33.32524966658684,57.14285714285714,38.79619269691334,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,38.79619269691334,HP,32.137555258693986,HP,23.71669686867288,118.77602650026336,6.3887656499993986,11.76877882894626,9.101786223333507,27.25799394765372,0,0,0,0,0,0,1.1346406542571967,4.543744103991847,8.41867389498302,24.83481216944885,4.550893111666753,15.46077718478317
Vitis acerifolia,EqualArea,100,25.920471281296027,54.96122280684319,57.14285714285714,46.008183743665455,HP,4.240282685512367,0.7678993473401146,71.42857142857143,25.47891782047464,HP,25.47891782047464,HP,46.008183743665455,HP,35.743550782070045,HP,23.71669686867288,118.77602650026336,6.3887656499993986,11.76877882894626,9.101786223333507,27.25799394765372,0,0,0,0,0,0,1.1346406542571967,4.543744103991847,8.41867389498302,24.83481216944885,4.550893111666753,15.46077718478317
Vitis aestivalis,WGS84,1,1.0674201397064593,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,0.028370935049989603,223.60679774997897,1.3975424859373686,223.60679774997897,0.4753044736624527,83.62598818668947,0,0,0,0,0,0,0.4753044736624527,83.62598818668947,0,0,0.2376522368312255,1.2299704043402948
Vitis aestivalis,WGS84,5,1.0674201397064593,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,0.028370935049989603,223.60679774997897,1.3975424859373686,223.60679774997897,0.4753044736624527,83.62598818668947,0,0,0,0,0,0,0.4753044736624527,83.62598818668947,0,0,0.2376522368312255,1.2299704043402948
Vitis aestivalis,WGS84,20,1.0674201397064593,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,0.028370935049989603,223.60679774997897,1.3975424859373686,223.60679774997897,0.4753044736624527,83.62598818668947,0,0,0,0,0,0,0.4753044736624527,83.62598818668947,0,0,0.2376522368312255,1.2299704043402948
Vitis aestivalis,WGS84,50,1.0674201397064593,0,0,0.35580671323548646,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,0.35580671323548646,UP,38.07520062201987,HP,19.21550366762768,UP,0.028370935049989603,223.60679774997897,1.3975424859373686,223.60679774997897,0.4753044736624527,83.62598818668947,0,0,0,0,0,0,0.4753044736624527,83.62598818668947,0,0,0.2376522368312255,1.2299704043402948
Vitis aestivalis,WGS84,100,1.0674201397064593,0.06343933935700814,3.125,1.4186198263544891,UP,12.76987888362296,4.580722982436642,96.875,38.07520062201987,HP,1.4186198263544891,UP,38.07520062201987,HP,19.74691022418718,UP,0.028370935049989603,223.60679774997897,1.3975424859373686,223.60679774997897,0.4753044736624527,83.62598818668947,0,0,0,0,0,0,0.4753044736624527,83.62598818668947,0,0,0.2376522368312255,1.2299704043402948
Vitis aestivalis,EqualArea,1,1.0674201397064593,0,0,0.35580671323548646,UP,12.867647058823529,4.584208112097147,96.875,38.108951723640224,HP,0.35580671323548646,UP,38.108951723640224,HP,19.232379218437856,UP,0.02778294494839411,223.60679774997897,1.3975424859373686,223.60679774997897,0.4751084769619209,83.60439739333749,0,0,0,0,0,0,0.4751084769619209,83.60439739333749,0,0,0.23755423848096,1.2283931271945028
